NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURELSC,Z32,Z33
ALABAMA YOUTH SERVICES,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
ALBERTVILLE CITY,Alabama,AL,3,10,1,38927000,6477000,19465000,12985000,57286000,35657000,20033000,13374000
MARSHALL COUNTY,Alabama,AL,3,10,1,57766000,11705000,33031000,13030000,57101000,53270000,30364000,18787000
HOOVER CITY,Alabama,AL,3,10,1,149924000,9191000,54590000,86143000,152411000,140962000,83174000,54814000
MADISON CITY,Alabama,AL,3,10,1,85030000,6893000,42605000,35532000,85734000,74149000,42472000,28907000
AL INST DEAF AND BLIND,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
LEEDS CITY,Alabama,AL,3,10,1,13842000,1936000,7086000,4820000,14740000,13323000,7535000,4868000
BOAZ CITY,Alabama,AL,3,10,1,23169000,4191000,12014000,6964000,22971000,20652000,11518000,7306000
TRUSSVILLE CITY,Alabama,AL,3,10,1,37936000,2436000,18734000,16766000,37738000,36242000,20929000,13766000
SAFETYNET ACADEMY,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
BRYCE ADOLESCENT SCHOOL,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
ALABAMA SCHOOL OF FINE ARTS,Alabama,AL,N,10,1,-1,-1,-1,-1,-1,-1,-1,-1
UCP OF GREATER BIRMINGHAM,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
BOYD SCHOOL,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
BREWERS PORCH CHILDRENS CENTER,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS COURTLAND SCH,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS MADISON SCH,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW BEGINNINGS,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW TUSKEGEE,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW TUSKEGEE,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW DIRECTION,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
ALEXANDER CITY,Alabama,AL,3,10,1,30840000,4397000,16648000,9795000,30438000,28424000,16509000,12037000
THE BRIDGE,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
GLENWOOD MENTAL HEALTH SERVICE,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
LEARNING TREE INC,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
LEE CO YOUTH DEVELOPMENT CTR,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
BAY POINT CENTER,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
PATHWAY INC,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
PRESBYTERIAN HOME FOR CHILDREN,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
BRANTWOOD CHILDREN'S HOME,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
DEVELOPING ALABAMA YOUTH PROG,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
LAUREL OAKS BEHAVIORAL HEALTH,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
MOUNTAINVIEW HOSPITAL,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THE RUSHTON SCHOOL,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
WILMER HALL,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS PAINT ROCK VALLEY,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
ANDALUSIA CITY,Alabama,AL,3,10,1,15027000,2853000,8312000,3862000,15208000,14632000,8449000,5852000
ANNISTON CITY,Alabama,AL,3,10,1,25466000,6185000,12237000,7044000,25613000,23033000,12526000,8281000
ARAB CITY,Alabama,AL,3,10,1,21728000,2232000,12976000,6520000,22327000,20942000,12047000,8584000
ATHENS CITY,Alabama,AL,3,10,1,35833000,4043000,14878000,16912000,37271000,31305000,18058000,12747000
COMPASS ACADEMY,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
ETOWAH ACADEMY,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
POINTE ACADEMY,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
ALABAMA CORRECTIONAL FACILITIES,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
HIGDON HILL SCHOOL,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
THE BRIDGE II,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
ATTALLA CITY,Alabama,AL,3,10,1,17233000,2553000,12049000,2631000,18152000,14308000,8885000,5653000
COMPASS SCHOOL,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
ALABAMA CLINICAL SCHOOL,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
EXCEL INSTITUTE,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
SARALAND CITY,Alabama,AL,3,10,1,27708000,2621000,7356000,17731000,27480000,14792000,7133000,4602000
FATHER PURCELL CENTER,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
FATHER WALTERS CTR,Alabama,AL,N,10,1,-2,-2,-2,-2,-2,-2,-2,-2
AUBURN CITY,Alabama,AL,3,10,1,66831000,6282000,27006000,33543000,69760000,58564000,34624000,22627000
AUTAUGA COUNTY,Alabama,AL,3,10,1,75102000,10038000,47735000,17329000,81788000,74409000,43510000,29867000
BALDWIN COUNTY,Alabama,AL,3,10,1,260945000,30989000,107281000,122675000,255644000,230521000,136645000,89605000
BARBOUR COUNTY,Alabama,AL,3,10,1,11335000,3158000,6269000,1908000,13032000,10725000,6181000,3800000
BESSEMER CITY,Alabama,AL,3,10,1,41076000,9311000,21783000,9982000,55637000,40718000,23192000,14165000
BIBB COUNTY,Alabama,AL,3,10,1,33635000,5572000,20227000,7836000,36769000,30176000,18028000,11566000
BIRMINGHAM CITY,Alabama,AL,3,10,1,291248000,57696000,127202000,106350000,371343000,273320000,163672000,94568000
BLOUNT COUNTY,Alabama,AL,3,10,1,66360000,9586000,44246000,12528000,66898000,63449000,37546000,25402000
BREWTON CITY,Alabama,AL,3,10,1,15335000,1498000,9877000,3960000,18037000,10613000,6301000,4555000
BULLOCK COUNTY,Alabama,AL,3,10,1,16261000,3990000,9742000,2529000,16748000,15254000,8867000,4852000
BUTLER COUNTY,Alabama,AL,3,10,1,31815000,7079000,17676000,7060000,32148000,29077000,16743000,11310000
CALHOUN COUNTY,Alabama,AL,3,10,1,84983000,12920000,49535000,22528000,81760000,77726000,44218000,28773000
CHAMBERS COUNTY,Alabama,AL,3,10,1,36605000,6264000,21840000,8501000,38060000,33297000,19274000,12384000
CHEROKEE COUNTY,Alabama,AL,3,10,1,37870000,6187000,21585000,10098000,40308000,36473000,20604000,13417000
CHILTON COUNTY,Alabama,AL,3,10,1,62323000,11307000,38731000,12285000,63721000,59547000,34800000,24247000
CHOCTAW COUNTY,Alabama,AL,3,10,1,20229000,3671000,11101000,5457000,22262000,17502000,9316000,5837000
CLARKE COUNTY,Alabama,AL,3,10,1,30904000,6548000,17150000,7206000,31652000,30230000,17455000,11055000
CLAY COUNTY,Alabama,AL,3,10,1,45015000,2697000,38799000,3519000,19322000,17400000,10150000,7031000
CLEBURNE COUNTY,Alabama,AL,3,10,1,23815000,3676000,15507000,4632000,24143000,22552000,13168000,8598000
COFFEE COUNTY,Alabama,AL,3,10,1,18596000,2915000,11177000,4504000,20454000,16750000,9032000,5977000
COLBERT COUNTY,Alabama,AL,3,10,1,30085000,4597000,16050000,9438000,29995000,28836000,16928000,10410000
CONECUH COUNTY,Alabama,AL,3,10,1,19149000,4302000,9245000,5602000,19751000,18129000,9794000,6398000
COOSA COUNTY,Alabama,AL,3,10,1,13343000,3503000,6993000,2847000,13765000,12777000,6916000,4239000
COVINGTON COUNTY,Alabama,AL,3,10,1,30148000,5593000,17074000,7481000,30907000,27006000,15270000,9899000
CRENSHAW COUNTY,Alabama,AL,3,10,1,20354000,3538000,12517000,4299000,20522000,19561000,11489000,7740000
CULLMAN CITY,Alabama,AL,3,10,1,28296000,3653000,14240000,10403000,33965000,25958000,14800000,10702000
CULLMAN COUNTY,Alabama,AL,3,10,1,84449000,13214000,52612000,18623000,85371000,81915000,47844000,32585000
DALE COUNTY,Alabama,AL,3,10,1,27768000,4077000,17362000,6329000,29970000,24105000,13741000,9206000
DALEVILLE CITY,Alabama,AL,3,10,1,11450000,2784000,6240000,2426000,14894000,11228000,6354000,4053000
DALLAS COUNTY,Alabama,AL,3,10,1,38897000,9761000,23755000,5381000,39455000,38240000,20905000,12458000
DEKALB COUNTY,Alabama,AL,3,10,1,78711000,14836000,47424000,16451000,80537000,77036000,43602000,31657000
DECATUR CITY,Alabama,AL,3,10,1,92667000,13132000,41713000,37822000,92142000,87904000,52213000,36925000
DEMOPOLIS CITY,Alabama,AL,3,10,1,20454000,3178000,12180000,5096000,20820000,18804000,10978000,7831000
DOTHAN CITY,Alabama,AL,3,10,1,84238000,17439000,43736000,23063000,85232000,83441000,47871000,32564000
ELBA CITY,Alabama,AL,3,10,1,8455000,1915000,4786000,1754000,8601000,8000000,4569000,3003000
ELMORE COUNTY,Alabama,AL,3,10,1,93950000,16195000,53822000,23933000,96023000,87893000,50143000,33850000
ENTERPRISE CITY,Alabama,AL,3,10,1,73560000,8051000,41193000,24316000,101026000,54649000,31208000,21445000
ESCAMBIA COUNTY,Alabama,AL,3,10,1,44788000,8466000,24932000,11390000,45077000,42412000,24735000,15775000
ETOWAH COUNTY,Alabama,AL,3,10,1,74089000,10985000,47885000,15219000,74390000,71230000,42994000,28955000
EUFAULA CITY,Alabama,AL,3,10,1,26377000,4416000,15624000,6337000,26929000,24414000,14178000,9419000
FAIRFIELD CITY,Alabama,AL,3,10,1,18695000,4086000,11043000,3566000,20637000,19834000,11295000,7147000
FAYETTE COUNTY,Alabama,AL,3,10,1,22870000,4145000,13483000,5242000,23508000,22061000,12784000,8090000
FLORENCE CITY,Alabama,AL,3,10,1,47749000,9240000,19804000,18705000,51721000,45472000,25138000,17668000
FORT PAYNE CITY,Alabama,AL,3,10,1,27587000,3883000,16425000,7279000,24630000,23318000,13518000,9404000
FRANKLIN COUNTY,Alabama,AL,3,10,1,32079000,5383000,18766000,7930000,32824000,30225000,17621000,11429000
GADSDEN CITY,Alabama,AL,3,10,1,52263000,10930000,27661000,13672000,51162000,48152000,28021000,18082000
GENEVA CITY,Alabama,AL,3,10,1,11044000,1874000,6589000,2581000,11137000,10748000,6474000,4556000
GENEVA COUNTY,Alabama,AL,3,10,1,23429000,4242000,15129000,4058000,23218000,21353000,12245000,7937000
GREENE COUNTY,Alabama,AL,3,10,1,15452000,4212000,7486000,3754000,15606000,14696000,8168000,4868000
GUNTERSVILLE CITY,Alabama,AL,3,10,1,18188000,2491000,9153000,6544000,18435000,17302000,9912000,6508000
HALE COUNTY,Alabama,AL,3,10,1,27950000,5712000,17705000,4533000,27956000,26009000,14980000,10138000
HALEYVILLE CITY,Alabama,AL,3,10,1,15118000,2759000,8494000,3865000,16549000,14554000,8222000,5733000
HARTSELLE CITY,Alabama,AL,3,10,1,28908000,2956000,16203000,9749000,28243000,26260000,15810000,11153000
HENRY COUNTY,Alabama,AL,3,10,1,25180000,4706000,14847000,5627000,24590000,22390000,12707000,8533000
HOMEWOOD CITY,Alabama,AL,3,10,1,44180000,3433000,12403000,28344000,46316000,42171000,25157000,17634000
HOUSTON COUNTY,Alabama,AL,3,10,1,51889000,8406000,29400000,14083000,52242000,50212000,28524000,20528000
HUNTSVILLE CITY,Alabama,AL,3,10,1,246510000,33000000,105393000,108117000,272461000,237970000,136940000,91632000
JACKSON COUNTY,Alabama,AL,3,10,1,56557000,9168000,33215000,14174000,59017000,56279000,32585000,19872000
JACKSONVILLE CITY,Alabama,AL,3,10,1,14282000,1673000,8364000,4245000,14155000,13595000,7920000,5649000
JASPER CITY,Alabama,AL,3,10,1,25731000,3329000,13170000,9232000,26411000,25783000,15146000,10245000
JEFFERSON COUNTY,Alabama,AL,3,10,1,347235000,49712000,189049000,108474000,457236000,327106000,191447000,125377000
LAMAR COUNTY,Alabama,AL,3,10,1,20811000,2918000,13445000,4448000,20625000,19270000,11371000,7379000
LANETT CITY,Alabama,AL,3,10,1,8470000,1819000,5074000,1577000,8463000,7868000,4777000,3152000
LAUDERDALE COUNTY,Alabama,AL,3,10,1,81786000,9926000,51234000,20626000,80695000,73219000,41990000,29454000
LAWRENCE COUNTY,Alabama,AL,3,10,1,49843000,7446000,29885000,12512000,51290000,47261000,27826000,18562000
LEE COUNTY,Alabama,AL,3,10,1,94068000,10853000,55347000,27868000,106397000,80819000,48640000,33878000
LIMESTONE COUNTY,Alabama,AL,3,10,1,83703000,10256000,49227000,24220000,91086000,75082000,41815000,29265000
LINDEN CITY,Alabama,AL,3,10,1,5469000,1078000,3383000,1008000,5819000,5592000,3261000,1854000
LOWNDES COUNTY,Alabama,AL,3,10,1,24968000,9791000,11454000,3723000,25732000,23861000,12002000,7517000
MACON COUNTY,Alabama,AL,3,10,1,31248000,7153000,18064000,6031000,33192000,26796000,15015000,8752000
MADISON COUNTY,Alabama,AL,3,10,1,174023000,19418000,95847000,58758000,202910000,163070000,98077000,65551000
MARENGO COUNTY,Alabama,AL,3,10,1,16765000,3743000,9303000,3719000,17328000,15313000,8195000,5291000
MARION COUNTY,Alabama,AL,3,10,1,34111000,5918000,21513000,6680000,33587000,31638000,18208000,12604000
MIDFIELD CITY,Alabama,AL,3,10,1,10731000,1880000,6043000,2808000,13435000,10083000,5648000,3488000
MOBILE COUNTY,Alabama,AL,3,10,1,592058000,117344000,308995000,165719000,581520000,547348000,300217000,192396000
MONROE COUNTY,Alabama,AL,3,10,1,36650000,6437000,23507000,6706000,37008000,35153000,20186000,13721000
MONTGOMERY COUNTY,Alabama,AL,3,10,1,301209000,59993000,148635000,92581000,324935000,282538000,160892000,100466000
MORGAN COUNTY,Alabama,AL,3,10,1,75220000,9505000,37119000,28596000,75028000,72136000,41861000,28140000
MOUNTAIN BROOK CITY,Alabama,AL,3,10,1,58060000,2564000,17290000,38206000,55746000,51774000,31741000,22264000
MUSCLE SHOALS CITY,Alabama,AL,3,10,1,26557000,2756000,13731000,10070000,26811000,24615000,14504000,9611000
ONEONTA CITY,Alabama,AL,3,10,1,11747000,1370000,7266000,3111000,11862000,10693000,6362000,4503000
OPELIKA CITY,Alabama,AL,3,10,1,47102000,7219000,20536000,19347000,43739000,40836000,24016000,16207000
OPP CITY,Alabama,AL,3,10,1,12191000,1871000,7074000,3246000,13453000,11393000,6630000,4539000
OXFORD CITY,Alabama,AL,3,10,1,56452000,4529000,24046000,27877000,55522000,35733000,20258000,14111000
OZARK CITY,Alabama,AL,3,10,1,24899000,4460000,14631000,5808000,24422000,23032000,13650000,8693000
PELL CITY,Alabama,AL,3,10,1,35102000,5490000,20689000,8923000,34476000,32909000,19071000,13102000
PERRY COUNTY,Alabama,AL,3,10,1,19188000,5229000,11230000,2729000,19426000,18207000,10432000,6548000
PHENIX CITY,Alabama,AL,3,10,1,57358000,12061000,30477000,14820000,59425000,53986000,30849000,20687000
PICKENS COUNTY,Alabama,AL,3,10,1,28725000,5591000,18143000,4991000,29064000,27002000,15338000,10214000
PIEDMONT CITY,Alabama,AL,3,10,1,10512000,2586000,5542000,2384000,10296000,9075000,5212000,3472000
PIKE COUNTY,Alabama,AL,3,10,1,23171000,5237000,12353000,5581000,23000000,22451000,12463000,7473000
RANDOLPH COUNTY,Alabama,AL,3,10,1,22064000,3624000,13467000,4973000,24179000,19940000,11375000,7806000
ROANOKE CITY,Alabama,AL,3,10,1,12828000,2586000,7359000,2883000,13750000,12323000,6950000,4874000
RUSSELL COUNTY,Alabama,AL,3,10,1,31380000,5315000,19045000,7020000,33194000,29363000,16828000,10808000
RUSSELLVILLE CITY,Alabama,AL,3,10,1,22156000,3399000,12210000,6547000,22048000,20540000,12295000,8559000
SCOTTSBORO CITY,Alabama,AL,3,10,1,27575000,3943000,14102000,9530000,27770000,25475000,14849000,9737000
SELMA CITY,Alabama,AL,3,10,1,33824000,8041000,19604000,6179000,35608000,33718000,19284000,12700000
SHEFFIELD CITY,Alabama,AL,3,10,1,13489000,3009000,6448000,4032000,13336000,12713000,7318000,4933000
SHELBY COUNTY,Alabama,AL,3,10,1,278596000,27436000,133243000,117917000,262108000,238893000,143251000,93684000
ST CLAIR COUNTY,Alabama,AL,3,10,1,72224000,9836000,43642000,18746000,82888000,65658000,39068000,27516000
SUMTER COUNTY,Alabama,AL,3,10,1,28516000,7463000,17178000,3875000,32328000,22393000,12209000,7495000
SYLACAUGA CITY,Alabama,AL,3,10,1,25135000,3812000,13641000,7682000,24521000,21623000,12580000,8712000
TALLADEGA CITY,Alabama,AL,3,10,1,23627000,3800000,14329000,5498000,23617000,22662000,13001000,8788000
TALLADEGA COUNTY,Alabama,AL,3,10,1,76026000,12705000,39704000,23617000,81595000,68659000,38968000,22842000
TALLAPOOSA COUNTY,Alabama,AL,3,10,1,30378000,5455000,16093000,8830000,36660000,28080000,16255000,10788000
TALLASSEE CITY,Alabama,AL,3,10,1,16404000,2359000,9774000,4271000,17589000,15465000,9214000,6803000
TARRANT CITY,Alabama,AL,3,10,1,13687000,3024000,7661000,3002000,14284000,13453000,7233000,4286000
THOMASVILLE CITY,Alabama,AL,3,10,1,13540000,2312000,8048000,3180000,13732000,12864000,7466000,4959000
TROY CITY,Alabama,AL,3,10,1,21417000,3828000,11805000,5784000,22153000,19647000,11520000,8222000
TUSCALOOSA CITY,Alabama,AL,3,10,1,145298000,19721000,46413000,79164000,106983000,94626000,54507000,34659000
TUSCALOOSA COUNTY,Alabama,AL,3,10,1,163084000,21987000,87102000,53995000,164292000,143264000,80117000,53184000
TUSCUMBIA CITY,Alabama,AL,3,10,1,14340000,1840000,7871000,4629000,14586000,13814000,7938000,5254000
VESTAVIA HILLS CITY,Alabama,AL,3,10,1,66678000,3496000,23926000,39256000,73304000,64075000,39286000,27692000
WALKER COUNTY,Alabama,AL,3,10,1,80507000,13838000,44994000,21675000,85976000,76865000,44727000,28543000
WASHINGTON COUNTY,Alabama,AL,3,10,1,30741000,5378000,17094000,8269000,32217000,30075000,17164000,11472000
WILCOX COUNTY,Alabama,AL,3,10,1,21902000,5689000,12545000,3668000,22608000,20504000,11080000,6567000
WINFIELD CITY,Alabama,AL,3,10,1,11892000,1500000,7003000,3389000,11411000,10624000,6089000,4231000
WINSTON COUNTY,Alabama,AL,3,10,1,26717000,4202000,15129000,7386000,27160000,25600000,15270000,9323000
LOWER KUSKOKWIM SCHOOL DISTRICT,Alaska,AK,3,10,1,121505000,36558000,81995000,2952000,124797000,99326000,45116000,27727000
LOWER YUKON SCHOOL DISTRICT,Alaska,AK,3,10,1,87795000,20794000,65216000,1785000,87004000,49814000,19050000,12023000
YUPIIT SCHOOL DISTRICT,Alaska,AK,3,10,1,13626000,5961000,7001000,664000,14371000,13782000,5545000,3726000
KASHUNAMIUT SCHOOL DISTRICT,Alaska,AK,3,10,1,8697000,4299000,3946000,452000,9090000,8547000,3430000,2064000
MOUNT EDGECUMBE HIGH SCHOOL,Alaska,AK,2,10,1,-2,-2,-2,-2,-2,-2,-2,-2
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Alaska,AK,3,10,1,8305000,1510000,5556000,1239000,9594000,8549000,3493000,2418000
ALEUTIAN REGION SCHOOL DISTRICT,Alaska,AK,3,10,1,1573000,197000,1304000,72000,1381000,1381000,547000,384000
BERING STRAIT SCHOOL DISTRICT,Alaska,AK,3,10,1,69913000,23742000,42574000,3597000,67383000,53289000,24445000,17970000
BRISTOL BAY BOROUGH SCHOOL DISTRICT,Alaska,AK,3,10,1,4278000,491000,2269000,1518000,4271000,4265000,1636000,1026000
ALASKA GATEWAY SCHOOL DISTRICT,Alaska,AK,3,10,1,10512000,2176000,8109000,227000,11233000,9462000,3848000,2556000
CORDOVA CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,7331000,692000,4591000,2048000,7917000,6700000,3256000,2168000
COPPER RIVER SCHOOL DISTRICT,Alaska,AK,3,10,1,10314000,1537000,8643000,134000,10388000,9563000,4123000,2662000
CRAIG CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,9724000,2957000,5933000,834000,9784000,9736000,4514000,2120000
DELTA/GREELY SCHOOL DISTRICT,Alaska,AK,3,10,1,18694000,2502000,15836000,356000,18561000,14189000,6243000,4060000
DILLINGHAM CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,10345000,2233000,6223000,1889000,11606000,10034000,4852000,3264000
GALENA CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,28346000,2322000,23776000,2248000,28380000,25238000,8787000,4364000
KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,Alaska,AK,3,10,1,35743000,3972000,21397000,10374000,36964000,34722000,18011000,12385000
ANCHORAGE SCHOOL DISTRICT,Alaska,AK,3,10,1,686143000,89922000,383161000,213060000,755014000,665336000,356938000,216810000
JUNEAU BOROUGH SCHOOL DISTRICT,Alaska,AK,3,10,1,82451000,6601000,45809000,30041000,102968000,77919000,41244000,27107000
SITKA SCHOOL DISTRICT,Alaska,AK,3,10,1,23175000,3150000,13322000,6703000,24712000,21283000,11548000,8090000
HAINES BOROUGH SCHOOL DISTRICT,Alaska,AK,3,10,1,6211000,582000,3601000,2028000,6737000,5748000,2720000,1951000
HOONAH CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,3750000,1079000,2050000,621000,3801000,3507000,1558000,1022000
HYDABURG CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,2329000,724000,1333000,272000,2527000,2096000,654000,521000
KAKE CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,2778000,622000,1620000,536000,2874000,2772000,1140000,745000
KENAI PENINSULA BOROUGH SCHOOL DISTRICT,Alaska,AK,3,10,1,142477000,13851000,82985000,45641000,144544000,138927000,65977000,46499000
KLAWOCK CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,4239000,1339000,2406000,494000,3796000,3610000,1767000,1231000
KODIAK ISLAND BOROUGH SCHOOL DISTRICT,Alaska,AK,3,10,1,47974000,7688000,29674000,10612000,49331000,46907000,22287000,14063000
LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT,Alaska,AK,3,10,1,15730000,4501000,9695000,1534000,17513000,16439000,6232000,3286000
MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,Alaska,AK,3,10,1,223944000,19413000,155914000,48617000,241767000,220361000,112555000,74045000
IDITAROD AREA SCHOOL DISTRICT,Alaska,AK,3,10,1,7595000,2028000,5238000,329000,8292000,7879000,3104000,1928000
ANNETTE ISLAND SCHOOL DISTRICT,Alaska,AK,3,10,1,16682000,4963000,11615000,104000,17103000,6561000,3050000,2060000
NENANA CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,8996000,681000,8079000,236000,9072000,8106000,3104000,1778000
NOME PUBLIC SCHOOLS,Alaska,AK,3,10,1,14262000,1607000,10290000,2365000,14064000,12735000,5951000,3452000
FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,Alaska,AK,3,10,1,222737000,33753000,140531000,48453000,228002000,220128000,108476000,69664000
NORTH SLOPE BOROUGH SCHOOL DISTRICT,Alaska,AK,3,10,1,59428000,10128000,17876000,31424000,65102000,62804000,31280000,16906000
NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT,Alaska,AK,3,10,1,59825000,14206000,36585000,9034000,61553000,54379000,22383000,12767000
PELICAN CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,586000,64000,459000,63000,635000,635000,228000,119000
PETERSBURG CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,9443000,774000,6607000,2062000,9857000,8783000,4338000,2818000
PRIBILOF SCHOOL DISTRICT,Alaska,AK,3,10,1,4430000,2178000,1697000,555000,4496000,2973000,1192000,741000
SAINT MARY'S SCHOOL DISTRICT,Alaska,AK,3,10,1,5850000,1490000,4203000,157000,5508000,4293000,1532000,966000
SKAGWAY CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,3033000,367000,875000,1791000,2907000,2875000,1206000,782000
SOUTHEAST ISLAND SCHOOL DISTRICT,Alaska,AK,3,10,1,5408000,1021000,4289000,98000,5646000,5156000,2190000,1285000
SOUTHWEST REGION SCHOOL DISTRICT,Alaska,AK,3,10,1,20669000,8009000,12103000,557000,21429000,17937000,7657000,4324000
TANANA CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,1418000,251000,1120000,47000,1213000,1208000,498000,288000
UNALASKA CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,8997000,421000,4311000,4265000,9365000,7960000,3619000,2369000
CHATHAM SCHOOL DISTRICT,Alaska,AK,3,10,1,4285000,1056000,3152000,77000,4352000,4114000,1755000,1220000
KUSPUK SCHOOL DISTRICT,Alaska,AK,3,10,1,16436000,8607000,7255000,574000,16620000,11792000,4842000,2949000
DENALI BOROUGH SCHOOL DISTRICT,Alaska,AK,3,10,1,6937000,362000,4779000,1796000,6752000,6749000,2817000,1807000
YUKON FLATS SCHOOL DISTRICT,Alaska,AK,3,10,1,12580000,2612000,9791000,177000,14100000,10743000,4036000,2407000
VALDEZ CITY SCHOOL DISTRICT,Alaska,AK,3,10,1,15531000,975000,5748000,8808000,15116000,13404000,6972000,4413000
CHUGACH SCHOOL DISTRICT,Alaska,AK,3,10,1,8009000,4206000,3615000,188000,7736000,6538000,2161000,1667000
WRANGELL PUBLIC SCHOOL DISTRICT,Alaska,AK,3,10,1,6253000,913000,3918000,1422000,6376000,6019000,2838000,1992000
YAKUTAT SCHOOL DISTRICT,Alaska,AK,3,10,1,3073000,473000,1818000,782000,3346000,3026000,1245000,851000
YUKON/KOYUKUK SCHOOL DISTRICT,Alaska,AK,3,10,1,19973000,4410000,14780000,783000,21587000,18677000,6507000,4314000
CAVE CREEK UNIFIED DISTRICT,Arizona,AZ,3,10,1,48969000,3529000,7950000,37490000,50555000,44823000,26588000,16809000
CHINO VALLEY UNIFIED DISTRICT,Arizona,AZ,3,10,1,21545000,3663000,8014000,9868000,19194000,17611000,10781000,6702000
CLARKDALE-JEROME ELEMENTARY DISTRICT,Arizona,AZ,1,10,1,3233000,539000,1057000,1637000,3257000,3191000,1962000,1211000
SALOME CONSOLIDATED ELEMENTARY DISTRICT,Arizona,AZ,1,10,1,1407000,261000,415000,731000,1372000,1292000,724000,371000
CENTER FOR ACADEMIC SUCCESS  INC.,Arizona,AZ,3,10,1,8466000,3500000,4870000,96000,6444000,5805000,3471000,2625000
PINE FOREST EDUCATION ASSOCIATION  INC.,Arizona,AZ,1,10,1,1981000,109000,1527000,345000,1754000,1716000,1121000,995000
FLAGSTAFF ARTS AND LEADERSHIP ACADEMY,Arizona,AZ,2,10,1,1551000,25000,1379000,147000,1295000,1291000,755000,606000
