NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33
DISCOVERY ACADEMY OF ST JOHNS,ARIZONA,AZ,1,98,1,234000,19000,206000,8000,202000,129000,81000
CENTER FOR ACADEMIC SUCCESS,ARIZONA,AZ,3,98,1,609000,47000,562000,0,451000,249000,149000
GREYHILLS ACADEMY,ARIZONA,AZ,2,98,1,10203000,8026000,2019000,158000,1623000,1088000,726000
PINE FOREST CHARTER SCHOOL,ARIZONA,AZ,1,98,1,779000,45000,662000,72000,741000,426000,340000
FLAGSTAFF ARTS & LEADERSHIP AC,ARIZONA,AZ,2,98,1,684000,14000,670000,0,667000,349000,255000
MONTESSORI CHT SCH OF FLAG,ARIZONA,AZ,1,98,1,615000,0,615000,0,647000,279000,279000
LAKE POWELL ACADEMY,ARIZONA,AZ,1,98,1,721000,32000,688000,0,635000,345000,277000
TRIUMPHANT LEARNING CENTER,ARIZONA,AZ,1,98,1,359000,14000,345000,0,284000,145000,123000
LIFE SCH COLLEGE PREPARATORY,ARIZONA,AZ,3,98,1,1176000,0,1176000,0,1228000,645000,473000
ARIZONA CAREER ACADEMY,ARIZONA,AZ,2,98,1,1558000,13000,1545000,0,1350000,788000,487000
VENTANA,ARIZONA,AZ,1,98,1,482000,0,482000,0,597000,362000,283000
COPPER CANYON ACADEMY,ARIZONA,AZ,1,98,1,605000,177000,403000,26000,668000,292000,148000
MESA ARTS ACADEMY,ARIZONA,AZ,1,98,1,866000,129000,708000,29000,770000,277000,163000
VALLEY ACADEMY INC,ARIZONA,AZ,3,98,1,2501000,24000,2436000,41000,2561000,1304000,952000
ACADEMY OF LIFELONG LEARNING,ARIZONA,AZ,2,98,1,84000,33000,51000,0,119000,64000,48000
FOOTHILLS ACADEMY,ARIZONA,AZ,3,98,1,504000,0,467000,37000,506000,311000,244000
BENNETT ACADEMY,ARIZONA,AZ,1,98,1,339000,6000,333000,0,316000,180000,118000
CASY COUNTRY DAY SCHOOL,ARIZONA,AZ,1,98,1,655000,28000,627000,0,731000,405000,316000
DRAGONFLEYE CHARTER SCHOOL,ARIZONA,AZ,3,98,1,514000,40000,473000,0,556000,287000,184000
EDU-PRIZE,ARIZONA,AZ,1,98,1,1841000,66000,1776000,0,2118000,992000,812000
GATEWAY COMMUNITY HIGH SCHOOL,ARIZONA,AZ,3,98,1,1402000,0,1402000,0,1191000,721000,516000
NEW SCHOOL FOR THE ARTS,ARIZONA,AZ,2,98,1,1227000,0,1227000,0,1335000,723000,462000
HORIZON CHARTER SCHOOL,ARIZONA,AZ,3,98,1,1997000,0,1991000,6000,1962000,1308000,958000
AMERICAN GRADE SCHOOL,ARIZONA,AZ,1,98,1,739000,54000,677000,9000,611000,301000,223000
SRPMI COMMUNITY SCHOOL,ARIZONA,AZ,2,98,1,812000,192000,508000,112000,704000,580000,375000
KACHINA COUNTRY DAY SCHOOL,ARIZONA,AZ,3,98,1,1383000,0,1383000,0,1443000,819000,633000
GAN YELADEEM: THE LOOKING GLAS,ARIZONA,AZ,1,98,1,445000,12000,433000,0,362000,229000,200000
ARIZONA MONTESSORI CHARTER SCH,ARIZONA,AZ,1,98,1,1101000,16000,1085000,0,1346000,488000,305000
CARMEL COMMUNITY INTEGRATED AR,ARIZONA,AZ,3,98,1,244000,0,244000,0,471000,256000,137000
ESPERANZA CHARTER SCHOOL,ARIZONA,AZ,3,98,1,3202000,378000,2664000,160000,3588000,1401000,562000
HERITAGE ACADEMY INC,ARIZONA,AZ,3,98,1,1946000,0,1930000,16000,2123000,1145000,935000
VILLA MONTESSORI CHARTER SCH,ARIZONA,AZ,1,98,1,1414000,52000,1362000,0,1372000,23000,23000
EDUPRENEURSHIP,ARIZONA,AZ,1,98,1,369000,29000,340000,0,358000,202000,139000
ARIZONA SCHOOL FOR THE ARTS,ARIZONA,AZ,3,98,1,1337000,0,1244000,93000,1371000,773000,619000
ARIZONA CALL A TEEN YOUTH,ARIZONA,AZ,3,98,1,884000,164000,721000,0,780000,345000,170000
TEEN CHOICE LEADERSHIP,ARIZONA,AZ,3,98,1,1206000,202000,1003000,1000,899000,537000,301000
SCOTTSDALE HORIZONS SCHOOLS,ARIZONA,AZ,1,98,1,1274000,0,1274000,0,1369000,866000,674000
INTELLI-SCHOOL,ARIZONA,AZ,3,98,1,1302000,0,1302000,0,1062000,628000,179000
TERTULIA  A LEARNING COMMUNITY,ARIZONA,AZ,1,98,1,936000,126000,709000,101000,786000,447000,281000
LAKE HAVASU CHARTER SCHOOL,ARIZONA,AZ,2,98,1,401000,57000,344000,0,319000,167000,105000
BENJAMIN FRANKLIN CHARTER SCH,ARIZONA,AZ,1,98,1,4130000,0,3983000,147000,4078000,1892000,1325000
FUTURE DEVELP & PERFORMING ART,ARIZONA,AZ,1,98,1,895000,0,891000,5000,1209000,619000,0
VICTORY HIGH SCHOOL,ARIZONA,AZ,2,98,1,314000,55000,254000,5000,174000,110000,63000
MONTESSORI DAY PUBLIC SCHOOL,ARIZONA,AZ,1,98,1,962000,0,962000,0,889000,489000,376000
KHALSA MONTESSORI,ARIZONA,AZ,1,98,1,584000,40000,543000,1000,520000,210000,134000
TEMPE PREP ACADEMY,ARIZONA,AZ,2,98,1,628000,0,628000,0,676000,374000,290000
BRIGHT BEGINNINGS,ARIZONA,AZ,1,98,1,863000,0,863000,0,902000,460000,390000
MONTESSORI ED CENTRE,ARIZONA,AZ,3,98,1,700000,0,700000,0,723000,418000,329000
ECOTECH AGRICULTURAL,ARIZONA,AZ,1,98,1,439000,27000,392000,20000,407000,195000,115000
KINGMAN ACADEMY OF LEARNING,ARIZONA,AZ,1,98,1,3061000,256000,2795000,11000,2085000,1407000,1002000
YOUNG SCHOLARS' ACADEMY,ARIZONA,AZ,1,98,1,400000,16000,384000,0,323000,188000,140000
HOPI JR - SR HIGH,ARIZONA,AZ,2,98,1,117000,0,110000,7000,3629000,2515000,1197000
NORTHERN ARIZONA ACADEMY,ARIZONA,AZ,3,98,1,1223000,157000,1066000,0,1151000,560000,409000
PCAE EDGE CHARTER SCHOOL,ARIZONA,AZ,2,98,1,1139000,199000,940000,0,803000,507000,279000
ALT COMPUTERIZED ED (ACE),ARIZONA,AZ,3,98,1,429000,0,429000,0,402000,177000,72000
CHILDRENS ACADEMY OF AZ,ARIZONA,AZ,1,98,1,1988000,177000,1742000,68000,2053000,864000,765000
PRESIDIO SCHOOL,ARIZONA,AZ,,98,1,1176000,152000,1024000,0,857000,530000,307000
PPEP TEC HIGH SCHOOL,ARIZONA,AZ,2,98,1,4179000,572000,3607000,0,3583000,1340000,1039000
LAURENT CLERC ELEM SCHOOL,ARIZONA,AZ,1,98,1,144000,16000,128000,0,119000,55000,55000
TUCSON URBAN LEAGUE ED,ARIZONA,AZ,3,98,1,611000,155000,456000,0,526000,304000,189000
PIMERIA ALTA HIGH SCHOOL,ARIZONA,AZ,3,98,1,2687000,1671000,992000,24000,1006000,290000,171000
MINGUS MTN ACADEMY,ARIZONA,AZ,2,98,1,281000,89000,192000,1000,189000,138000,102000
SEDONA CHARTER SCHOOL,ARIZONA,AZ,1,98,1,585000,40000,542000,2000,550000,239000,212000
MINGUS SPRINGS CHARTER SCHOOL,ARIZONA,AZ,1,98,1,644000,36000,607000,0,528000,284000,212000
EXCEL EDUCATION CENTER,ARIZONA,AZ,3,98,1,2795000,465000,2330000,0,2424000,915000,627000
FRANKLIN PHONETIC PRIMARY,ARIZONA,AZ,1,98,1,691000,36000,623000,32000,557000,299000,173000
SKYVIEW SCHOOL,ARIZONA,AZ,1,98,1,563000,0,554000,8000,588000,280000,213000
AZTEC HIGH SCHOOL,ARIZONA,AZ,2,98,1,356000,18000,338000,0,212000,149000,94000
EDUCATIONAL OPPORTUNITY CENTER,ARIZONA,AZ,3,98,1,550000,55000,494000,0,443000,219000,102000
MOUNTAIN SCHOOL INC,ARIZONA,AZ,,98,1,239000,0,239000,0,267000,144000,142000
NORTHLAND PREPARATORY ACADEMY,ARIZONA,AZ,2,98,1,325000,17000,288000,21000,401000,189000,159000
FLAGSTAFF JUNIOR ACADEMY,ARIZONA,AZ,1,98,1,494000,0,494000,0,566000,307000,239000
GILA COUNTY TRANSITION SCHOOL,ARIZONA,AZ,2,98,1,261000,0,261000,0,211000,120000,108000
BALL CHARTER,ARIZONA,AZ,1,98,1,950000,63000,850000,37000,1299000,552000,428000
OMEGA ACADEMY,ARIZONA,AZ,,98,1,1211000,183000,1020000,8000,878000,598000,357000
FRIENDLY HOUSE ACADEMIA,ARIZONA,AZ,1,98,1,275000,0,275000,0,248000,102000,72000
OMBUDSMAN LEARNING CENTER,ARIZONA,AZ,2,98,1,329000,0,329000,0,302000,0,0
G R A D E,ARIZONA,AZ,2,98,1,330000,63000,267000,0,453000,227000,130000
LIFE ENRICHMENT COMMUNITY,ARIZONA,AZ,1,98,1,413000,35000,368000,10000,369000,238000,105000
ARIZONA AGRIBUSINESS & EQUINE,ARIZONA,AZ,2,98,1,550000,63000,487000,0,506000,230000,168000
HUMANITIES & SCIENCES INST,ARIZONA,AZ,3,98,1,1277000,0,1277000,0,1097000,438000,290000
INTERNATIONAL COMMERCE INST,ARIZONA,AZ,3,98,1,1450000,0,1450000,0,1102000,477000,314000
