Year,Total enrolled,N-Total,N-Public,N-Private,K-Total,K-Public,K-Private,E-Total,E-Public,E-Private,H-Total,H-Public,H-Private,C-Total,C-Public,C-Private,C-Full time
1967,57656,713,230,484,3312,2678,635,33440,28877,4562,13790,12498,1292,6401,4540,1861,4976
1966,56167,688,215,473,3115,2527,588,32916,28208,4706,13364,11985,1377,6085,4178,1908,4847
1965,54701,520,127,393,3057,2439,618,32474,27596,4878,12975,11517,1457,5675,3840,1835,4414
1964,52490,471,91,380,2830,2349,481,31734,26811,4923,12812,11403,1410,4643,3025,1618,3556
1963,50356,,,,2340,1936,404,31245,26502,4742,12438,11186,1251,4336,2897,1439,3260
1962,48704,,,,2319,1914,405,30661,26148,4513,11516,10431,1085,4208,2820,1388,3237
1961,47708,,,,2299,1926,373,30718,26221,4497,10959,9817,1141,3731,2376,1354,2902
1960,46260,,,,2092,1691,401,30349,25814,4535,10249,9215,1033,3570,2307,1262,2681
1959,44370,,,,2032,1678,354,29382,24680,4702,9616,8571,1045,3340,2120,1220,2464
1958,42900,,,,1991,1569,422,28184,23800,4385,9482,8485,998,3242,2088,1155,
1957,41166,,,,1824,1471,353,27248,23076,4172,8956,8059,897,3138,2054,1084,
1956,39353,,,,1758,1566,192,26169,22474,3695,8543,7668,875,2883,1824,1059,
1955,37426,,,,1628,1365,263,25458,22078,3379,7961,7181,780,2379,1515,864,
